LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01005256,73.82,110,0.338649098,0.03386491,1
E01006515,73.82,111,0.341727726,0.034172773,1
E01010606,73.78,112,0.344806354,0.034480635,1
E01015282,73.73,113,0.347884982,0.034788498,1
E01011429,73.72,114,0.350963611,0.035096361,1
E01012895,73.62,115,0.354042239,0.035404224,1
E01006494,73.58,116,0.357120867,0.035712087,1
E01005609,73.53,117,0.360199495,0.03601995,1
E01007544,73.5,118,0.363278123,0.036327812,1
E01013877,73.42,119,0.366356751,0.036635675,1
E01011667,73.42,120,0.36943538,0.036943538,1
E01008427,73.37,121,0.372514008,0.037251401,1
E01011361,73.29,122,0.375592636,0.037559264,1
E01012622,73.29,123,0.378671264,0.037867126,1
E01014287,73.26,124,0.381749892,0.038174989,1
E01011357,73.17,125,0.38482852,0.038482852,1
E01006873,73.17,126,0.387907149,0.038790715,1
E01025041,73.13,127,0.390985777,0.039098578,1
E01011431,73.1,128,0.394064405,0.03940644,1
E01009194,73.07,129,0.397143033,0.039714303,1
E01006351,73.06,130,0.400221661,0.040022166,1
E01007127,73.04,131,0.403300289,0.040330029,1
E01026173,73.03,132,0.406378918,0.040637892,1
E01005189,73.02,133,0.409457546,0.040945755,1
E01012135,72.94,134,0.412536174,0.041253617,1
E01007007,72.9,135,0.415614802,0.04156148,1
E01010710,72.89,136,0.41869343,0.041869343,1
E01012679,72.89,137,0.421772058,0.042177206,1
E01020972,72.81,138,0.424850687,0.042485069,1
E01010824,72.8,139,0.427929315,0.042792931,1
E01010368,72.78,140,0.431007943,0.043100794,1
E01012639,72.75,141,0.434086571,0.043408657,1
E01007133,72.75,142,0.437165199,0.04371652,1
E01006493,72.74,143,0.440243827,0.044024383,1
E01006760,72.73,144,0.443322456,0.044332246,1
E01007293,72.71,145,0.446401084,0.044640108,1
E01010063,72.65,146,0.449479712,0.044947971,1
E01009511,72.64,147,0.45255834,0.045255834,1
E01020752,72.55,148,0.455636968,0.045563697,1
E01005756,72.54,149,0.458715596,0.04587156,1
E01005918,72.54,150,0.461794224,0.046179422,1
E01006436,72.54,151,0.464872853,0.046487285,1
E01008818,72.44,152,0.467951481,0.046795148,1
E01024872,72.42,153,0.471030109,0.047103011,1
E01008978,72.42,154,0.474108737,0.047410874,1
E01005579,72.4,155,0.477187365,0.047718737,1
E01007121,72.35,156,0.480265993,0.048026599,1
E01013691,72.35,157,0.483344622,0.048334462,1
E01012637,72.32,158,0.48642325,0.048642325,1
E01007532,72.31,159,0.489501878,0.048950188,1
E01006630,72.3,160,0.492580506,0.049258051,1
E01006674,72.28,161,0.495659134,0.049565913,1
E01010711,72.28,162,0.498737762,0.049873776,1
E01005203,72.15,163,0.501816391,0.050181639,1
E01011662,72.03,164,0.504895019,0.050489502,1
E01008305,72.02,165,0.507973647,0.050797365,1
E01005196,71.95,166,0.511052275,0.051105228,1
E01012127,71.94,167,0.514130903,0.05141309,1
